end_to_end	chemical_ner	gene_ner	text
None	O O O O O O O O O O O O O O	O O O O O O O O O O O O O O	Selective costimulation modulators : a novel approach for the treatment of rheumatoid arthritis .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	T cells have a central role in the orchestration of the immune pathways that contribute to the inflammation and joint destruction characteristic of rheumatoid arthritis ( RA ) .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	The requirement for a dual signal for T-cell activation and the construction of a fusion protein that prevents engagement of the costimulatory molecules required for this activation has led to a new approach to RA therapy .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	This approach is mechanistically distinct from other currently used therapies ; it targets events early rather than late in the immune cascade , and it results in immunomodulation rather than complete immunosuppression .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O B-GENE-Y O O O O O O O O O O O O O O O O B-GENE-N O O O O O O	The fusion protein abatacept is a selective costimulation modulator that avidly binds to the CD80/CD86 ligands on an antigen-presenting cell , resulting in the inability of these ligands to engage the CD28 receptor on the T cell .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Abatacept dose-dependently reduces T-cell proliferation , serum concentrations of acute-phase reactants , and other markers of inflammation , including the production of rheumatoid factor by B cells .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CHEMICAL O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-GENE-N O O O O	Recent studies have provided consistent evidence that treatment with abatacept results in a rapid onset of efficacy that is maintained over the course of treatment in patients with inadequate response to methotrexate and anti-tumor necrosis factor therapies .
None	O O O O O O O O O O O O	O O O O O O O O O O O O	This efficacy includes patient-centered outcomes and radiographic measurement of disease progression .
None	O O O O O O O O O O O O	O O O O O O O O O O O O	Abatacept has also demonstrated a very favorable safety profile to date .
None	O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O	This article reviews the rationale for this therapeutic approach and highlights some of the recent studies that demonstrate the benefits obtained by using abatacept .
None	O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O	This clinical experience indicates that abatacept is a significant addition to the therapeutic armamentarium for the management of patients with RA .
None	O O O O O O O O O O O O O O O O O O	O O O B-GENE-Y O O O O O O O O O O O O O O	Emerging role of epidermal growth factor receptor inhibition in therapy for advanced malignancy : focus on NSCLC .
None	O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O	Combination chemotherapy regimens have emerged as the standard approach in advanced non-small-cell lung cancer .
None	O O O O O O O O O O B-CHEMICAL O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Meta-analyses have demonstrated a 2-month increase in median survival after platinum-based therapy vs. best supportive care , and an absolute 10 % improvement in the 1-year survival rate .
None	O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O	Just as importantly , cytotoxic therapy has produced benefits in symptom control and quality of life .
None	O O O O O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O O B-CHEMICAL O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Newer agents , including the taxanes , vinorelbine , gemcitabine , and irinotecan , have expanded our therapeutic options in the treatment of advanced non-small-cell lung cancer .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Despite their contributions , we have reached a therapeutic plateau , with response rates seldom exceeding 30 - 40 % in cooperative group studies and 1-year survival rates stable between 30 % and 40 % .
None	O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O	It is doubtful that substituting one agent for another in various combinations will lead to any further improvement in these rates .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O B-GENE-Y O O O O O O O O O O O O O	The thrust of current research has focused on targeted therapy , and epidermal growth factor receptor inhibition is one of the most promising clinical strategies .
(12, 0, CPR_4) , (14, 0, CPR_4) , (16, 0, CPR_4) , (19, 0, CPR_4) , (21, 0, CPR_4) , (23, 0, CPR_4) , (33, 0, CPR_4) , (35, 0, CPR_4) , (37, 0, CPR_4)	O O O O O O O O O O O O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O O O O O O O O O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O O	B-GENE-Y O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Epidermal growth factor receptor inhibitors currently under investigation include the small molecules gefitinib ( Iressa , ZD1839 ) and erlotinib ( Tarceva , OSI-774 ) , as well as monoclonal antibodies such as cetuximab ( IMC-225 , Erbitux ) .
(10, 14, CPR_4) , (10, 15, CPR_4) , (20, 28, CPR_4) , (20, 32, CPR_4) , (20, 37, CPR_4) , (22, 28, CPR_4) , (22, 32, CPR_4) , (22, 37, CPR_4)	O O O O O O O O O O B-CHEMICAL O O O O B-CHEMICAL O O O O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O B-GENE-Y B-GENE-N O O O O O O O O O O O O B-GENE-N O O O B-GENE-Y O O O O B-GENE-Y O O	Agents that have only begun to undergo clinical evaluation include CI-1033 , an irreversible pan-erbB tyrosine kinase inhibitor , and PKI166 and GW572016 , both examples of dual kinase inhibitors ( inhibiting epidermal growth factor receptor and Her2 ) .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Preclinical models have demonstrated synergy for all these agents in combination with either chemotherapy or radiotherapy , leading to great enthusiasm regarding their ultimate contribution to lung cancer therapy .
None	O O O O O O O	O O O O O O O	However , serious clinical challenges persist .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	These include the identification of the optimal dose(s ) ; the proper integration of these agents into popular , established cytotoxic regimens ; and the selection of the optimal setting(s ) in which to test these compounds .
None	O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O O O O O O O O B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Both gefitinib and erlotinib have shown clinical activity in pretreated , advanced non-small-cell lung cancer , but placebo-controlled randomized Phase III studies evaluating gefitinib in combination with standard cytotoxic therapy , to our chagrin , have failed to demonstrate a survival advantage compared with chemotherapy alone .
None	O O O O O O O O O B-CHEMICAL O O O B-CHEMICAL O O O O O O O O O O O O O O	O O O O O O O O O B-GENE-Y O O B-GENE-Y O O O O B-GENE-Y O O O O O O O O O O	Effects of chronic social defeat stress on behavior and choline acetyltransferase , 78-kDa glucose-regulated protein , and CCAAT/enhancer-binding protein ( C/EBP ) homologous protein in adult mice .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O	RATIONALE : Social defeat stress induces physiological and behavioral symptoms , including anxiety , anhedonia , immune deficits , and altered expression of key brain genes .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O B-GENE-Y O B-GENE-Y O O B-GENE-Y O O O O O O O	OBJECTIVES : The present study investigated the effects of social defeat stress on the behaviors and expressions of Chat , Grp78 , and chop in the brains of adult mice .
None	O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O	METHODS : Adult mice were divided into susceptible and unsusceptible groups after 10 days of social defeat stress .
None	O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O	In experiment 1 , behavioral tests were conducted , and brains were processed for Western blotting at day 27 after stress .
None	O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O	In experiment 2 , social avoidance tests were conducted , and brains were processed for Western blotting at day 12 after stress .
None	O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O	RESULTS : The results indicate decreased and increased locomotion and anxiety behavior in all defeated mice .
None	O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O	Decrease in social interaction , increased immobility , and impaired memory performance were only observed in susceptible mice .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	A decrease in the Chat level at days 12 and 27 was noted in the prefrontal cortex ( PFC ) , amygdala ( Amyg ) , and dorsal hippocampus ( HIP ) in defeated mice .
None	O O O O O O O O O O O O O O O O O O O O O O O	O O O O B-GENE-Y O B-GENE-Y O O O O O O O O O O O O O O O O	The expression levels of Grp78 and chop measured on days 12 and 27 were significantly greater in the Amyg of susceptible mice .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O B-GENE-Y O B-GENE-Y O O O O O O O O	In the PFC and HIP , defeated mice displayed different patterns in the levels of Grp78 and chop expressions measured on days 12 and 27 .
None	O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O	CONCLUSIONS : The present study demonstrated that chronic social defeat stress in mice produces stress-related behaviors .
None	O O O O O O O O O O O O O O O O O O O O O O	O O O O O O B-GENE-Y O B-GENE-Y O O O O O O O O O O O O O	Different response patterns were noted for Grp78 and chop expression among the groups in terms of brain regions and time-course effects .
None	O O O O O O O O O O O O O O O O O O O O O	B-GENE-Y O O O O O O O B-GENE-Y O O B-GENE-Y O O O O O O B-GENE-N B-GENE-Y O	Hepatocyte growth factor activator inhibitor type 2 ( HAI-2 ) modulates hepcidin expression by inhibiting the cell surface protease matriptase-2 .
None	O O O O O O O O O O O O O O B-CHEMICAL O O O O O O O O O O O	B-GENE-Y O O O O O O B-GENE-N O O O O O O O O O O O O O O O O B-GENE-Y O	Matriptase-2 , a recently identified cell surface protease , is the key enzyme of iron homoeostasis modulating the expression of the liver peptide hormone hepcidin .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	B-GENE-N O B-GENE-N O O O O O O O O O O B-GENE-Y O B-GENE-Y O O O O O O O O O O O O B-GENE-N O	HAI ( hepatocyte growth factor activator inhibitor ) types 1 and 2 ( HAI-1 and HAI-2 respectively ) have been shown to inhibit the close homologue , i.e. matriptase .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O B-GENE-Y O O O B-GENE-Y O O O B-GENE-Y O O O O O B-GENE-N O O O O O O O O O O O	By co-expressing matriptase-2 and the inhibitor HAI-2 we have identified HAI-2 displaying high inhibitory potential against matriptase-2 at the cell surface as well as in conditioned medium .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O B-GENE-Y O B-GENE-Y O O O O O O O O O O B-GENE-Y O B-GENE-Y O O O O O O O O O	Accordingly , complex formation between matriptase-2 and HAI-2 was demonstrated by isolation of the complex via immobilizing either HAI-2 or matriptase-2 from lysates and conditioned medium of co-expressing cells .
None	O O O O O O O O O O O O O	O O B-GENE-Y O O O O O O B-GENE-Y O B-GENE-Y O	Furthermore , HAI-2 indirectly influences the expression of the hepcidin-encoding gene HAMP .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O B-GENE-Y O O B-GENE-Y O O O O O O O O O B-GENE-Y O O O O O O O O	The inhibitor abrogates the matriptase-2-mediated suppression of HAMP expression , presumably by inhibiting the supposed potential of matriptase-2 to cleave membrane-bound HJV ( haemojuvelin ) .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CHEMICAL O O O O O O O O O B-CHEMICAL O O O	O O O O O O O O O O O B-GENE-Y O O O O B-GENE-Y O O O O O B-GENE-Y O O O O O O O O O O O O O O O O O O O O O O O	Taken together , the results of the present study have characterized HAI-2 as an inhibitor of matriptase-2 that modulates the synthesis of hepcidin and provides new insights into the regulatory mechanism of iron homoeostasis , with clinical importance for a treatment of iron overload diseases .
(0, 10, CPR_6) , (2, 10, CPR_6)	B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O O O	O O O O O O O O O O B-GENE-Y O O O O O O	Alprenolol and bromoacetylalprenololmenthane are competitive slowly reversible antagonists at the beta 1-adrenoceptors of rat left atria .
None	O O O O O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O O O O O O	O O O O O O O O O O O O O O O O	We studied the effects of alprenolol and bromoacetylalprenololmenthane ( BAAM ) on rat left atria .
(0, 31, CPR_4) , (2, 31, CPR_4)	B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-GENE-N O O	Alprenolol and BAAM at 10(-7 ) , 3 x 10(-7 ) , and 10(-6 ) M inhibited the cardiac stimulation response slightly , which is indicative of membrane-stabilizing activity independent of beta-adrenoceptor blockade .
None	O O O O O O O	O O O O O O O	This membrane-stabilizing activity was readily reversible .
(0, 13, CPR_6) , (2, 13, CPR_6) , (8, 13, CPR_5)	B-CHEMICAL O B-CHEMICAL O O O O O B-CHEMICAL O O O O O O O O O O O	O O O O O O O O O O O O O B-GENE-Y O O O O O O	Alprenolol and BAAM also caused surmountable antagonism of isoprenaline responses , and this beta 1-adrenoceptor antagonism was slowly reversible .
None	O O O B-CHEMICAL O O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O	Inhibition of the isoprenaline responses with alprenolol and BAAM at 10(-6 ) M was at equilibrium after 60 min , which is indicative of reversible antagonism .
(3, 10, CPR_6) , (5, 10, CPR_6)	O O O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O	O O O O O O O O O O B-GENE-Y O O O O O O O	We conclude that alprenolol and BAAM are competitive slowly reversible beta 1-adrenoceptor antagonists on rat left atria .
None	O O O O O O O O O O O O O O O O	O O O B-GENE-Y O O B-GENE-Y O O O O O O O O O	Covalent linkage of apolipoprotein e to albumin nanoparticles strongly enhances drug transport into the brain .
None	O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O	Drug delivery to the brain is becoming more and more important but is severely restricted by the blood-brain barrier .
None	O O O B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Nanoparticles coated with polysorbates have previously been shown to enable the transport of several drugs across the blood-brain barrier , which under normal circumstances is impermeable to these compounds .
None	O O O O O O O O O O O O O O	B-GENE-Y O O O O O O O O O O O O O	Apolipoprotein E was suggested to mediate this drug transport across the blood-brain barrier .
None	O O O O O O O O O O O O O O O O O O O O O O O	O O O O O B-GENE-Y O O O O O O O O O O B-GENE-Y O O O B-GENE-Y O O	In the present study , apolipoprotein E was coupled by chemical methods to nanoparticles made of human serum albumin ( HSA-NP ) .
None	B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O	Loperamide , which does not cross the blood-brain barrier but exerts antinociceptive effects after direct injection into the brain , was used as model drug .
None	O O O O O O O O B-CHEMICAL O O	B-GENE-Y O O O O O O O O B-GENE-Y O	Apolipoprotein E was chemically bound via linkers to loperamide-loaded HSA-NP .
None	O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O	This preparation induced antinociceptive effects in the tail-flick test in ICR mice after i.v .
None	O O	O O	injection .
None	O O O O O O O O O O O O O O O O O O O O O	O O O O O O B-GENE-Y O O O O O O B-GENE-N O O O O O O O	In contrast , nanoparticles linked to apolipoprotein E variants that do not recognize lipoprotein receptors failed to induce these effects .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O B-GENE-Y O O O O O O O O O O O O O O O O O O O O B-GENE-N O O O O O O O O O	These results indicate that apolipoprotein E attached to the surface of nanoparticles facilitates transport of drugs across the blood-brain barrier , probably after interaction with lipoprotein receptors on the brain capillary endothelial cell membranes .
